Gene,E1.1,E1.2,E1.3,E18.1,E18.2,E18.3,E30.1,E30.2,E30.3
ILVBL,6.871933,7.576676,6.636364,5.441456,5.659242,6.487379,5.468113,4.694229,6.316988
SZT2,1.334582,2.049868,3.312896,2.631692,2.884419,2.523964,2.43029,2.636764,2.540559
RNF19B,9.230844,8.017054,6.846683,7.457435,8.40604,7.583864,9.323663,7.702758,10.799975
PRSS21,5.367928,4.912309,4.575754,5.256321,5.066083,5.828788,4.996611,5.373954,4.504443
RFPL3S,0.17395,0.183347,0.101699,0.160478,0.202745,0.241464,0.29248,0.52582,0.352722
ZC3H11A,19.068295,20.205133,17.162592,19.445814,21.125111,22.406294,21.164444,22.071192,23.690094
SLC25A36,1.367952,0.734791,0.412458,0.799397,1.119321,0.563185,0.851591,1.264068,0.841904
MIR16-2,0.788756,0.784251,0.828737,0.598916,0.577768,0.523414,0.652818,0.381666,0.461732
CLPB,104.847626,103.319862,94.60479,81.051254,59.437469,90.866478,66.594475,68.94799,91.113464
LOC645752,3.809027,3.556993,3.262954,3.608458,3.684972,3.20063,3.934062,3.918715,4.404386
PLK4,0,0,0,0,0,0,0,0,0
DKFZP586I1420,0.280446,0.129422,0.402667,0.174472,0.516517,0.476085,0.780863,0.569394,0.239372
DSN1,13.219579,13.432376,12.32938,11.883801,12.7625,11.277136,12.35586,15.110394,7.566335
HPN,8.120682,7.10405,9.64278,7.885861,10.154466,8.24695,10.394829,7.968336,7.291465
MIR588,1.7937,2.281341,1.861736,1.285342,3.311485,1.96903,2.215982,1.639226,1.37061
MOXD2P,1.72951,1.885138,1.367208,2.169729,2.542048,2.836185,4.800994,4.800823,4.67174
PAIP2,4.277173,3.113453,3.737262,4.212681,5.845757,4.968666,5.804549,4.668459,5.556683
CST7,26.70686,26.398453,26.716047,26.521727,28.827316,32.875072,28.874952,27.574879,28.022327
PSMC6,6.973466,7.893388,8.007916,5.289277,4.825469,5.339749,6.210696,4.824154,5.371439
TOX2,78.742653,80.609856,83.85318,85.054367,60.156956,83.437553,80.56665,83.595024,80.767189
CFAP57,2.116239,2.136049,2.139724,2.112737,2.297785,2.249741,2.783511,2.151881,2.512658
RNF114,0.000002,0,0.003137,0,0.002379,0.005689,0.000535,0,0
RBM24,21.820873,23.022135,23.992004,23.817377,24.840124,22.04842,18.953386,18.419397,18.619867
FCER1G,1.439299,1.155871,1.442852,2.960097,2.745191,2.143693,2.738366,2.772774,2.326601
KLRC2,2.689818,3.824791,1.736587,3.123775,4.073113,3.106441,4.92663,3.466132,3.911651
UTP6,1.176593,1.424507,0.806416,0.870279,0.943802,1.258633,1.218383,1.273869,1.4977
ATP2A3,24.376877,18.190697,25.63591,22.970205,25.767298,27.346809,28.159863,21.066563,17.886408
TOMM40L,7.051858,4.334341,4.664515,4.662367,4.206293,6.437328,5.022977,4.848198,4.576899
OTUD5,4.262455,4.023019,4.548552,3.575792,3.273488,3.322732,2.758492,2.59698,2.650604
STK40,19.70052,15.492621,17.415503,15.516685,16.161928,16.285778,16.949701,16.390923,18.26433
ZBTB11-AS1,18.154078,16.623905,16.073265,18.651423,24.334879,19.762428,23.221254,21.685562,21.288433
PSD4,0,0,0,0,0,0,0,0,0
DMKN,3.603092,4.010343,3.575927,2.860686,3.493926,4.050137,4.183712,4.172144,4.111178
CCDC171,48.408691,51.022419,49.057003,42.599121,46.984356,47.495232,57.714828,60.247833,55.351456
UQCRB,2.167993,1.746527,1.81198,2.61728,1.909317,2.323418,2.223935,2.204101,2.417924
KDELC1,2.456551,2.299536,3.053153,2.080529,1.964646,2.352498,1.805158,1.536891,1.117078
LINC01003,30.539988,30.892401,31.088831,20.571442,24.141705,21.466097,21.178297,16.566513,17.568029
KBTBD6,29.546501,30.144915,19.352856,29.038513,24.210814,28.358509,23.380909,26.989023,26.031509
UXT,20.410336,18.231123,15.472019,4.347525,16.016521,18.596313,18.797304,15.501582,19.789391
MOK,32.328697,34.594902,36.729298,33.239223,37.741982,35.336227,40.054657,42.368683,41.07616
CFAP58,48.577534,41.573975,40.807652,39.87545,41.077904,33.983109,46.737732,45.047455,37.295845
NOP9,7.070078,7.955841,8.072984,9.14643,9.642365,8.358126,8.997622,7.771287,7.798492
TUBB,5.282149,6.616828,4.719508,6.684602,6.596606,5.102029,7.84298,4.997975,7.269259
LOC100505841,44.020451,42.378632,45.370087,40.156956,40.273151,40.451149,44.044647,42.807453,41.20063
CDCA8,10.204035,8.835071,8.952128,8.667413,9.320608,9.406592,9.581349,8.06387,9.63592
CTIF,16.832487,13.595675,13.822618,9.895563,11.61958,11.037354,14.957773,13.867852,12.579623
DNAJC6,7.369511,8.250641,8.066519,7.38616,7.245358,7.196854,8.035662,7.602432,8.830757
TMEM181,0.284025,0.27763,0.287959,0.124015,0.196197,0.232351,0.129752,0.20344,0.109907
PLEKHG5,3.888877,3.197347,2.548601,6.815285,6.283045,7.017462,4.223158,4.473114,5.706071
SF3B2,0.502307,0.667964,0.626752,1.147283,1.695948,1.572733,0.814909,1.01861,0.797352
SPAG5,14.038548,16.0516,15.239008,12.53966,14.726787,14.980839,14.853696,15.702664,16.419878
PFDN1,19.356749,21.035847,18.154123,19.787563,25.631819,24.179668,27.327066,25.816071,26.987329
TVP23C,3.750981,3.871574,3.447979,3.373969,3.544461,3.478726,2.843542,3.444928,3.896953
METRNL,7.218949,7.07611,8.19419,7.541146,7.837431,7.503246,7.911077,7.058259,7.543697
LINC01551,7.541441,6.954651,6.56124,6.874476,6.924974,7.726825,7.863512,6.676816,7.106811
RRH,4.8351,4.168228,4.659117,5.124978,5.06896,5.414833,4.37877,5.090803,6.874465
TTC39B,152.228622,126.06958,127.832703,103.12001,81.286758,92.671318,51.142986,34.353645,43.067341
MYNN,1.777808,1.367586,1.41177,0.741338,0.997782,0.908517,1.372593,0.848649,1.108802
MMP19,9.894033,8.221905,8.829377,11.22798,11.744893,12.569087,12.789036,11.144551,13.04208
MRPL57,0.189973,0.383862,0.126987,0.554968,0.187509,0.687714,0.563887,0.343269,0.355391
TIAF1,1.885018,1.827631,1.832732,1.702122,1.539476,1.8154,2.56775,1.889564,1.791886
MUTYH,1.04874,0.953872,0.977787,1.000037,0.96785,1.230341,1.572542,1.202691,1.405143
CHERP,1.137216,0.299402,1.139032,0.454901,1.686977,1.80393,2.471005,2.687433,2.214967
MAP3K7,30.378654,30.819334,32.496014,29.407446,28.89327,27.630753,26.770281,23.956942,27.614958
MED12,13.791644,15.065534,13.315639,14.177663,15.329458,13.77851,18.624449,19.043192,17.586601
PTPN7,16.484224,14.979161,12.35038,14.223791,18.750952,18.501495,17.079592,18.156847,16.997482
CCDC43,0.303777,0.285001,0.22021,0.222653,0.276622,0.590103,0.214116,0.107543,0.12789
PARK7,4.659672,4.522963,4.262711,4.899835,3.600517,4.734744,4.132007,3.740281,4.598391
IL27RA,0,0,0,0,0,0,0,0,0
TSPAN12,0.042784,0,0.156807,0,0.113259,0.131971,0.13324,0.056508,0
STX6,0.225851,0.370329,0.350548,0.343971,0.358659,0.337615,0.511906,0.515952,0.481674
MRPL38,8.162018,8.070309,7.044025,7.528661,7.748976,8.911773,8.699248,8.982907,8.115921
ELMOD3,0.599508,0.746591,0.712687,0.993941,1.128093,0.907037,0.880681,0.739968,0.751966
SLC30A2,13.818644,14.405762,16.514688,19.508959,17.29195,18.913317,14.084587,14.196738,16.393967
CD28,4.199897,4.458923,3.508463,4.101821,3.788992,4.249695,2.872621,2.987514,2.703152
HECTD2-AS1,1.510721,2.315385,1.166028,1.825167,1.066153,0.994452,1.243516,1.223187,2.043357
OAS1,15.188041,14.191703,13.239043,17.14994,18.163298,19.069906,20.813513,19.142391,21.994503
NKIRAS2,9.023495,10.131428,10.135944,11.424183,11.156097,10.45116,10.992043,10.596959,11.395988
NOL11,0,0,0,0,0.098849,0,0,0,0
ATG2B,0.029582,0.032741,0.052079,0.012984,0.017502,0.026576,0.022599,0.036179,0.014432
TMEM203,1.829029,2.778911,2.247493,2.511003,3.324158,2.125603,2.171258,2.805244,1.780352
VSNL1,20.982656,19.901588,17.505489,19.74645,19.908783,20.843866,19.498009,19.017363,17.268824
RTCA,0,0,0,0,0,0,0,0,0
LPA,4.764698,3.596134,4.01511,5.257442,6.02131,6.521107,4.964176,5.348351,5.213133
FAM134B,3.368567,3.436222,3.327297,3.585988,3.872199,3.875537,4.047279,3.902518,4.03367
AGMO,0.168857,0.270287,0.256166,0.314278,0.319628,0.463613,0.626252,0.490483,0.131898
FAAP20,4.721231,3.464992,3.623652,4.1739,3.537946,4.665232,3.988558,4.6327,4.294192
SPTBN1,0.198684,0.162439,0.162137,0.109683,0.158182,0.344331,0.15355,0.078121,0.110263
HOXD11,4.678932,8.897008,6.702865,9.596565,11.127086,7.123002,12.837337,9.673129,13.969902
KIF5A,36.424538,35.950855,34.294094,35.721024,44.46973,36.912785,35.142448,37.256775,32.246784
ABHD5,41.214947,39.641384,39.420071,37.909298,41.683304,39.814449,40.969402,39.014923,38.47073
MICU1,2.941342,3.430714,3.139989,3.937082,4.478796,3.677746,4.990495,4.810292,4.632396
WDR72,4.92576,5.432623,5.628321,5.283382,5.740381,4.742156,4.763017,5.170341,4.612299
PDLIM7,0.014247,0.012067,0.006808,0.001204,0.021831,0.008099,0,0.011085,0
FARSA,15.199596,16.029037,16.088097,18.376316,17.86923,19.078209,17.836494,18.342651,18.129246
RPL37A,43.374428,47.107986,43.066662,59.050323,64.179184,59.598293,57.602261,53.17247,56.011444
KIFC2,12.422072,13.536747,13.165675,13.22506,14.876851,13.786021,13.882615,14.336142,12.770522
G6PC2,50.843403,51.550003,49.885937,50.025154,49.820526,56.176243,46.62788,59.875687,51.209911
GFOD2,0.107591,0.096092,0.084966,0.097179,0.078783,0.138858,0.057826,0.053087,0.076978
RAB3IP,6.191795,4.104577,6.108986,10.439835,16.764778,13.654593,8.155225,7.015883,8.685814
PRG2,1.866661,2.006304,2.002028,1.495977,1.859701,1.856368,2.148121,1.735819,0.757153
NUCKS1,8.631188,8.848268,9.936558,6.560893,7.90039,8.240878,9.527441,8.773283,7.056809
ARNTL,5.445304,5.033783,5.496522,4.704398,4.226238,5.551103,5.847158,5.091531,6.109572
MT1G,8.161709,7.066635,7.558674,9.471272,8.444531,9.178916,10.34279,9.668927,10.294674
STARD3NL,0.012245,0,0,0.012466,0.013198,0.046326,0,0,0
TRAPPC8,0,0.005237,0.006278,0,0,0.007898,0,0,0.010548
PMM1,0.014707,0.011354,0.005022,0,0.006912,0.009716,0.008458,0.007805,0.001236
PRPF38A,2.575125,2.979655,4.179963,2.077948,3.007641,3.798275,2.34963,1.829691,4.256895
TIGD1,1.917382,3.695682,1.546152,3.476554,3.399831,2.103903,1.884355,2.327717,1.321741
OACYLP,3.587239,3.201438,3.472754,2.872066,2.274657,3.010999,4.056311,2.377112,4.966779
SNORD112,3.008059,3.266498,2.838588,3.694859,3.545603,3.815286,3.813442,3.528277,3.612905
IER2,50.876247,49.952045,57.531525,56.256329,59.577999,60.29705,61.083881,58.562283,57.505283
VPS13A-AS1,0.075806,0.045856,0.123262,0.097202,0.130662,0.536774,0.158912,0.121067,0.064714
AADACP1,11.354476,8.948808,9.97066,9.934702,9.088306,8.808947,8.41221,8.437399,10.175244
TCF7L1,8.393782,8.378283,8.505666,8.169856,9.281023,9.588602,8.736407,7.652278,7.564652
TNRC6C,28.89839,29.245699,27.330891,28.17474,29.709185,29.803982,26.025324,25.148745,27.622843
KCNJ4,0.475137,1.119302,0.832059,1.306846,1.914436,1.410472,0.38868,0.299588,0.274158
KRTAP4-7,6.006087,5.010635,5.634358,4.54923,5.86997,8.855216,5.796185,9.022021,8.127215
CSE1L,34.210037,33.266865,35.973045,35.469501,35.882969,34.877731,34.574528,38.032436,35.250656
PALM2,86.666428,75.730003,98.124054,88.110672,88.287254,121.742065,122.481606,64.849037,84.325874
THEMIS2,6.669981,4.38061,5.668762,4.458539,6.204819,6.976864,8.954452,7.486537,8.063033
BCYRN1,7.712491,7.365123,6.951511,6.871417,6.865829,7.297542,7.075319,6.414654,6.844874
ANXA2,7.866064,7.250091,7.577683,7.561501,8.730531,8.616666,8.097931,7.486265,7.411219
EDA,0.218842,0.128978,0.268474,0.105086,0.220258,0.206844,0.151518,0.100304,0.311543
MRPL44,0.33736,0.487218,0.302972,0.102751,0.138508,0.256825,0.275879,0.203948,0.144056
LEPR,0.506403,0.851208,0.403687,0.264592,0.256368,0.233401,3.402401,0.146863,0.153854
SSTR3,6.152453,5.756265,5.766021,6.313073,6.375748,6.133904,6.51814,6.916597,6.76804
SUV39H1,7.79313,8.074062,7.136734,7.68811,7.643632,8.000108,8.188171,7.763336,9.501768
CDC25A,6.358137,5.64041,6.940086,3.684238,4.551725,5.65873,5.116659,4.896722,5.371071
GATSL3,0.606055,0.75293,0.407958,0.684363,0.662702,0.265253,1.539958,0.284448,1.035105
TMEM187,3.914147,2.990223,3.246627,3.948667,3.440906,4.492227,3.920603,4.061265,4.096604
EBAG9,0,0,0,0,0,0,0,0,0
RNF25,9.5862,9.479246,10.697021,12.417089,12.654885,10.859446,8.457294,8.838601,8.584848
ZC3H6,0.058653,0.049777,0.009088,0.083046,0.132616,0.093287,0.036241,0.064142,0.124411
LOC441204,0.039265,0.074159,0.111125,0.096608,0.155361,0.120244,0.056218,0.036333,0.023193
ARMCX2,0.003627,0.075992,0.013832,0.005877,0.035383,0.053429,0.004848,0,0.010347
SYNDIG1,0.014684,0.004427,0.012653,0.008668,0.020615,0.006768,0.01048,0.012199,0.010807
FTH1,13.033472,13.177119,10.581172,13.506445,16.444517,16.219276,10.592102,9.724092,9.605393
SOX14,0.052861,0.111881,0.190674,0.060386,0.432618,0.207888,0.050685,0.290521,0.057061
DNAJC21,6.835195,7.416596,7.379891,6.861713,7.380244,7.205219,6.915355,6.457565,6.343516
DOCK3,9.635719,8.628128,7.417977,8.362872,9.737139,9.361048,12.181031,11.367084,11.280587
ATN1,11.616792,9.158261,10.337153,9.148475,7.750251,11.12905,12.462018,10.03191,9.22371
RBBP8NL,10.188786,9.521393,9.605112,11.026621,10.74927,11.701978,10.257694,10.243382,10.646988
OR2A9P,20.738697,22.788792,24.944508,20.989124,22.419441,21.095642,21.933865,21.0818,21.830502
KRTAP24-1,9.983558,4.29941,6.776687,6.170594,11.176901,7.038588,6.55115,7.83961,7.344698
ZNF32,0.388104,0.529833,0.491984,0.589571,0.494689,0.412188,0.32559,0.360586,0.675182
CATSPER2P1,1.84505,2.364909,2.641839,1.45593,1.491144,1.544042,1.648527,1.22581,1.293146
EIF4ENIF1,8.376483,7.320109,6.034843,7.569312,8.721596,7.7583,8.193528,7.035184,7.515158
SMIM10L2B,7.880209,4.1581,7.422531,6.489479,8.216253,8.053679,7.09621,8.48435,3.961946
MIR519E,14.425576,12.018889,12.685058,11.81148,12.690277,11.48628,13.34529,11.588239,12.297001
ROBO1,0.63137,1.102797,0.678994,0.329846,0.733481,0.86768,0.749114,0.640515,0.714441
ARAP1,9.644479,11.82913,9.653876,8.168242,9.439281,8.129464,8.716669,8.149106,8.722798
SNRNP48,65.469803,65.997017,68.602112,75.839874,78.206856,80.569138,75.014954,75.571915,82.666725
HAVCR2,17.043808,16.480705,19.778645,24.098597,32.770889,23.598694,15.226792,16.052341,16.809307
IRF7,1.700049,2.351475,2.603879,2.99376,3.500413,3.164579,3.287881,3.693108,3.782577
LXN,3.943211,3.332947,4.215413,3.348942,3.305311,4.152596,4.579175,3.841069,5.074051
AXIN1,2.554096,4.149282,3.257017,4.536619,5.051633,4.739048,3.955539,4.979712,5.586207
FARS2,22.790585,22.641602,26.261564,18.768877,24.28466,18.285658,20.894909,24.787836,22.313412
BACE2,13.918798,13.267057,12.465937,15.230186,14.839671,15.937286,17.038958,17.291355,16.41522
C10orf67,5.77865,6.139602,7.779914,7.322491,8.914543,8.79256,10.154606,9.949348,11.503333
R3HDM1,2.584528,3.391998,3.825549,3.244334,3.492344,3.635923,4.910153,5.760561,5.552655
C18orf8,9.747277,8.572096,9.305573,10.85072,10.618218,10.35527,12.141874,11.787086,12.583847
NAA20,0.704513,1.146867,1.041913,0.999374,1.221907,1.260083,0.78865,0.728304,0.611197
MAP3K4,3.637483,3.436031,3.655565,1.783223,2.174954,2.160417,2.398479,2.256403,1.820807
HEATR1,0,0,0,0,0,0,0,0,0
KDELR3,0,0.04099,0,0,0,0,0,0,0
PARN,0.561141,0.391712,0.384405,0.263292,0.901706,0.389865,0.19012,0.131788,0.280932
TP53TG1,1.980475,6.395284,2.065815,2.948722,4.380691,2.928646,3.965789,5.283382,3.83409
JMJD4,3.936362,4.183692,4.214789,4.711229,3.388319,4.205591,3.17308,3.7347,4.240802
TTTY1B,0.264668,0.19007,0.16964,0.195177,0.169487,0.261858,0.177429,0.089649,0.218861
KLHL9,3.80756,3.452555,3.762621,3.557728,2.69197,3.06015,3.402049,2.67632,2.768349
ADCY1,0.020276,0.047014,0.02289,0.122804,0.011987,0.020993,0.01372,0.028357,0.026287
PRAMEF22,8.955342,8.579577,8.739622,7.505598,7.862342,9.971507,8.51895,8.117798,10.27478
TMEM243,12.683424,12.03556,9.87598,7.637091,9.692508,9.737134,9.372095,11.873712,7.811553
STK11,19.886629,16.35618,17.091787,20.088478,23.644938,25.003609,30.587145,32.971836,36.614449
BAG5,5.035742,6.369588,6.046651,9.129663,7.141359,8.758613,10.160856,9.916637,7.545879
PROK1,0.167997,1.069627,0.543549,0.99395,0.680483,0.962488,1.086026,0.876028,0.846285
CCR5,0,0,0,0.030706,0,0,0.081073,0,0
TEX10,0.049759,0.098744,0.304444,0.294231,0.338099,0.209182,0.205517,0.208156,0.222057
MTTP,2.763553,3.147365,2.684041,2.356737,1.881533,3.599941,5.395325,4.837459,5.133354
CAPZB,22.081993,25.355873,25.312426,20.206774,23.305685,23.945652,23.441973,20.03949,23.759649
RHEB,5.154211,7.247382,6.543732,5.719812,8.387821,8.051478,5.723328,6.472927,8.712885
FLJ26850,2.123099,1.837041,2.445083,1.995105,1.38555,2.658108,4.95322,2.893266,4.052231
HYAL3,9.443272,9.945013,10.615221,8.30554,10.065125,9.359965,9.039053,8.992838,8.06787
DYRK1B,0.978001,1.329362,0.963235,0.686369,0.894162,0.947424,0.750621,0.614197,0.844474
MIR23A,9.767107,9.86607,10.026249,9.124584,11.988162,11.314446,10.789281,10.413133,9.76341
BEND5,1.794769,1.06257,0.869682,0.529698,1.264583,0.991298,0.46398,0.424789,0.847432
SPATA31D4,31.66223,25.999905,32.713699,22.979231,25.568935,26.73637,24.849606,25.047674,23.624252
GSTO2,0.013448,0.032664,0,0,0,0.01489,0,0,0
MAP2K2,6.85251,6.874533,7.034271,7.140595,7.338882,7.530232,8.147911,8.594722,7.904553
RBBP5,0.085728,0.057147,0.109849,0,0.0438,0.05886,0,0,0
BRINP3,8.522553,8.488866,8.200743,8.658046,10.826901,10.812407,12.249397,10.204216,11.57735
PI4KAP2,6.351202,7.360561,6.893945,7.705393,8.123405,8.881927,8.041816,7.632597,7.740231
FAM21C,9.608022,9.776531,8.927874,8.833274,10.241114,9.549084,8.715858,9.37635,10.555363
C7orf50,1.891606,2.048724,2.359135,1.528606,2.207818,2.814353,2.362321,1.743331,2.585696
UNKL,9.521372,10.677832,10.231768,12.773961,13.179681,14.860026,12.317573,9.804452,9.049028
SKA2,8.624293,7.27362,7.434574,5.502457,5.805408,7.548498,7.86496,6.472552,7.758159
PTPRJ,5.864734,5.588884,5.943038,5.778081,6.761501,5.072441,5.743211,4.29072,5.303428
MIR10A,9.989525,10.755765,9.606709,10.285929,10.248661,11.042892,10.079819,12.177279,11.682035
CEND1,4.582847,5.770461,4.578064,3.734848,3.796346,3.821929,3.62246,4.560826,8.180371
AP1S3,27.814245,20.700937,32.793011,26.274773,30.309479,28.162512,28.692991,21.825754,28.603153
RIMKLA,24.961391,24.834328,24.20117,20.673313,23.57654,23.104889,26.014706,27.117002,28.138054
MIR488,47.558479,55.186855,48.17627,54.068214,56.398067,54.065533,67.649284,56.507019,52.711689
TLDC1,0.066129,0.045866,0.04386,0,0.085172,0.049305,0.040867,0.09326,0.110467
NUTF2,0.44204,0.604157,1.197629,0.562285,1.026902,0.616495,4.241783,0.425397,0.368044
HHIPL1,3.706386,4.08482,3.03931,2.994294,3.646157,4.651204,3.125283,2.916389,3.621579
AK6,11.704167,11.823866,10.637823,9.184003,9.074286,9.001495,8.645653,7.821248,7.415498
ATG101,29.664278,28.03611,26.398497,18.802612,24.672815,25.947287,23.514492,20.418854,21.978708
CHD1,0.933711,0.654748,0.899376,0.427538,0.600026,0.711453,0.456664,0.372317,0.620169
HENMT1,103.212807,103.165443,105.309555,90.036224,104.815857,99.198624,116.070587,112.178871,109.793015
LOC100287837///ARHGEF17,0.846577,0.62475,0.65664,0.557622,0.226869,0.381021,0.394023,0.653899,0.294892
PNPLA7,0,0,0.008938,0,0,0,0,0,0
CRIP2,0.135769,0.118246,0.201421,0.157931,0.073012,0.076625,0.108933,0.222767,0.149911
ZEB2,0.7334,0.677675,0.516626,0.459712,0.522232,0.663081,0.663484,0.552038,0.769375
PABPN1,24.810471,26.295362,26.009935,27.589279,31.220907,26.781286,30.603947,28.212011,29.856033
TMEM240,42.929878,41.340668,44.104527,50.00816,53.910904,50.468708,42.130085,40.394249,42.669403
DDX27,5.143871,4.767038,5.292876,6.69261,7.628807,7.712413,9.977442,9.699045,10.161454
MAF,0.009703,0.009585,0.100777,0.002291,0.008563,0.009537,0.003748,0.03203,0.00844
FRAS1,49.155987,50.130413,49.880211,36.561089,39.203026,39.652988,44.195419,39.132629,37.867889
PCNT,7.432394,8.65202,6.671703,5.055789,6.924037,7.27259,5.21316,4.748665,6.627406
CCR10,0.091074,0.068479,0.114448,0.102153,0.192222,0.101713,0.079043,0.048159,0.03997
FOPNL,8.102524,7.721284,6.688323,5.924663,7.406727,6.91028,7.617861,7.621424,6.576087
PALM,0,0,0,0,0,0,0,0,0
SNAPC5,0,0,0,0,0,0,0,0,0
VTRNA2-1,8.753921,9.655729,10.591213,9.447111,14.059708,9.690341,8.709533,9.839027,9.53844
PPM1A,3.995999,4.925468,3.405346,4.698814,5.646458,5.037004,9.856903,9.912624,8.799787
IL2RA,0,0,0,0,0.01518,0,0.015769,0,0
FBXO2,5.161424,4.575526,5.632904,5.618088,6.188803,5.622692,5.586257,5.703537,5.165606
STPG1,37.32444,37.23864,33.067341,30.904247,33.33614,31.453772,34.414459,31.617014,30.993975
KIAA1683,7.93687,7.534348,8.27962,5.429564,6.356618,7.894744,6.180746,5.136233,6.117522
RASL11B,11.089277,10.556891,10.980217,8.405432,7.849003,8.955604,7.703411,7.23983,6.935242
ABR,0.187047,0.945809,0.951393,0.127375,0.76295,0.196252,0.119221,0.338856,0.116008
LRRTM4,0,0,0,0.01856,0,0,0.021152,0,0
TSKU,12.475674,13.453314,11.705514,11.628822,13.679764,10.997242,14.258139,13.436863,11.693567
MIR1197,1.975157,1.516102,1.466115,1.23001,2.083463,1.398708,1.877911,1.241772,1.187552
OVGP1,8.265205,8.471998,8.91736,9.801319,10.45029,10.965188,10.066237,9.805211,10.154344
C10orf99,24.807131,25.738474,24.498768,28.709473,30.523405,29.018164,28.378044,25.208868,27.881186
LOC729966,58.369957,62.649517,61.180099,52.545528,59.223316,50.176701,57.195396,60.163471,59.485703
CCDC188,3.669775,2.824955,2.449316,2.544467,2.143891,2.993537,3.009835,3.812569,2.892308
SSH3,2.615801,2.549438,2.60303,2.664123,2.566195,3.182998,2.60443,2.573568,2.494216
SZRD1,23.943205,24.467325,23.078531,17.94636,18.340969,14.153944,18.517477,17.697598,9.499393
NOS2,17.338169,29.713955,14.9206,16.409971,17.529533,20.015238,16.507328,15.19011,13.988406
ANKRD24,2.649916,3.484069,3.660285,3.797309,3.981184,3.741999,2.814562,2.829848,2.926388
FBXO48,0.018105,0.033348,0.087678,0.188578,0.185044,0.114741,0.02412,0,0.029313
CMIP,0.145565,1.189221,0.370394,0.104761,0.10641,0.621436,0.085894,0.910616,0.261937
HBQ1,28.874605,29.129471,32.746265,28.42395,25.611399,27.79563,25.597969,22.041758,23.099989
PMPCB,0.153263,0.094786,0.042565,0.189771,0,0,0.156109,0,0.081084
PACSIN1,0,0,0,0.000218,0,0,0,0,0
TMCC3,0.223867,0.094582,0.198212,0.127258,0.219457,0.221161,0.057461,0.197192,0.2261
MIR190B,0.070926,0.023812,0.038848,0.033919,0.028978,0.039349,0.037612,0.173573,0.040282
KLHL13,1.583309,2.547423,2.956079,3.200958,3.262844,2.233398,1.547055,1.608405,1.461872
RBFOX1,3.551581,5.84692,3.365742,4.380813,5.13406,4.767132,4.786808,4.429721,3.418255
CAPRIN2,4.985869,4.992595,4.329967,4.015626,4.379495,3.940753,3.789617,3.283868,3.354417
MTF2,0.520926,0.756946,1.315558,1.344209,1.291287,0.180827,1.651813,0.951327,0.255431
ZNF707,0.173638,0.351362,0.422235,0.717831,1.060333,0.693152,1.104988,1.009832,1.072376
CLASP2,2.743775,2.957479,2.925252,3.136578,3.361617,2.810699,2.97538,2.645232,3.112941
YWHAG,0.253441,0.22356,0.329529,0.187842,0.223839,0.320509,0.301859,0.240478,0.169614
KLHDC7B,0.026262,0,0.040094,0,0.01768,0.00487,0,0,0.022768
METTL17,0,0,0,0,0,0,0,0,0.019278
LINC00052,0,0,0,0.013453,0,0,0,0,0
BANP,3.999643,3.527794,3.683944,4.543868,4.305636,3.635731,3.947986,3.137885,3.133667
ARHGAP35,22.674843,13.1463,20.589916,9.016457,28.193068,24.267647,19.93865,29.42041,26.588421
ACTG1P4,2.462977,2.997578,2.19118,3.883341,3.654466,4.206657,4.109885,4.380097,4.263281
SHPRH,46.908123,48.149536,44.153671,49.676521,50.952995,50.209461,48.441437,47.616344,50.264893
PDK3,7.442118,7.522257,7.836353,6.01934,7.805555,6.777299,5.482042,5.931925,5.544731
LOC284648,0,0.0041,0.003816,0,0.001896,0.002531,0,0,0
KLLN,0.952366,0.882875,1.020218,0.850331,0.932499,1.23881,1.687886,1.489012,1.28928
UBOX5,5.040104,4.418524,5.346686,4.690661,5.267657,5.01076,6.119383,5.910485,5.850719
ZNF439,0.038016,0.012389,0.021587,0,0,0,0.035587,0.013558,0.041699
HEPH,13.334403,11.42454,11.533144,14.423393,14.940282,14.630916,12.657658,11.99922,19.132738
KLHL2,29.723694,29.137232,29.989416,32.294399,29.003315,29.499701,25.171288,21.959778,27.075027
EPB41L4A,0.296014,0.138512,0.238209,0.238056,0.276164,0.23553,0.268885,0.217543,0.324349
ARHGEF7,2.370773,2.172808,1.782652,2.338162,2.113426,2.715762,1.958684,2.271593,1.994339
USP17L29,20.992672,19.203224,20.151047,22.607067,25.3769,24.606867,24.607763,24.035797,24.381851
HNRNPA1,0.015468,0,0,0,0,0,0,0,0.139561
GADD45B,0.040655,0.048247,0.028439,0.012788,0.018146,0.029103,0.009627,0.013935,0.014848
RAB4B,12.724694,13.062585,11.499366,9.849474,12.303595,14.313932,18.003614,16.793238,18.32513
NDUFA11,2.188137,2.247816,4.221107,6.172694,7.047811,5.360629,3.72768,8.66319,8.262778
USP54,0.018512,0,0,0.032506,0.017938,0,0,0,0
THAP10,12.756229,13.567888,15.934999,16.275251,17.172174,15.18119,14.269278,12.886818,13.558187
SERPINB13,0.082076,0.111702,0.068435,0.061339,0.100145,0.060377,0.135351,0.100749,0.066895
PDE7B,9.212147,7.801562,8.572102,7.249153,6.918653,6.228147,6.068052,6.57366,6.685986
FAM102A,8.538132,7.787819,6.088544,8.558899,8.339695,7.853439,8.433185,10.041186,9.240143
SMG7,107.987694,109.189713,116.878746,133.168839,136.211365,122.951508,115.195503,141.446335,122.314804
PFDN5,0.094686,0.023242,0.067427,0.073619,0.058966,0.031469,0.044249,0,0.004017
